date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-02-27,Illinois,Illinois43888,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-27,Massachusetts,Massachusetts43888,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-27,Nebraska,Nebraska43888,31,13,0,1952570,6.65789E-06,0,N/A
2020-02-27,Texas,Texas43888,48,10,0,29472300,3.39302E-07,0,N/A
2020-02-27,Utah,Utah43888,49,1,0,3282120,3.04681E-07,0,N/A
2020-02-27,Washington,Washington43888,53,5,0,7797100,6.41264E-07,0,Western
2020-02-27,Wisconsin,Wisconsin43888,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-28,Arizona,Arizona43889,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-28,California,California43889,6,27,0,39937500,6.76056E-07,0,Western
2020-02-28,Illinois,Illinois43889,17,2,0,12659700,1.57982E-07,0,Midwest
2020-02-28,Massachusetts,Massachusetts43889,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-28,Nebraska,Nebraska43889,31,13,0,1952570,6.65789E-06,0,N/A
2020-02-28,Oregon,Oregon43889,41,1,0,4301090,2.32499E-07,0,Western
2020-02-28,Texas,Texas43889,48,11,0,29472300,3.73232E-07,0,N/A
2020-02-28,Utah,Utah43889,49,1,0,3282120,3.04681E-07,0,N/A
2020-02-28,Washington,Washington43889,53,7,0,7797100,8.9777E-07,0,Western
2020-02-28,Wisconsin,Wisconsin43889,55,1,0,5851750,1.70889E-07,0,Midwest
2020-02-29,Arizona,Arizona43890,4,1,0,7378490,1.35529E-07,0,N/A
2020-02-29,California,California43890,6,28,0,39937500,7.01095E-07,0,Western
2020-02-29,Illinois,Illinois43890,17,3,0,12659700,2.36972E-07,0,Midwest
2020-02-29,Massachusetts,Massachusetts43890,25,1,0,6976600,1.43336E-07,0,Northeast
2020-02-29,Nebraska,Nebraska43890,31,13,0,1952570,6.65789E-06,0,N/A
2020-02-29,Oregon,Oregon43890,41,1,0,4301090,2.32499E-07,0,Western
2020-02-29,Texas,Texas43890,48,11,0,29472300,3.73232E-07,0,N/A
2020-02-29,Utah,Utah43890,49,1,0,3282120,3.04681E-07,0,N/A
2020-02-29,Washington,Washington43890,53,10,1,7797100,1.28253E-06,1.28253E-07,Western
2020-02-29,Wisconsin,Wisconsin43890,55,1,0,5851750,1.70889E-07,0,Midwest
2020-03-01,Arizona,Arizona43891,4,1,0,7378490,1.35529E-07,0,N/A
2020-03-01,California,California43891,6,33,0,39937500,8.26291E-07,0,Western
2020-03-01,Florida,Florida43891,12,2,0,21993000,9.0938E-08,0,N/A
